member_full,office_locations,state_and_district,name,last_name,first_name,middle_name,suffix,party,capitol_address,capitol_city,capitol_state,capitol_zip,bioguide_id,office_location_ids
"AR04 Bruce Westerman, R","El Dorado Office, Hot Springs Office, Ozark Office, Pine Bluff Office",AR04,Bruce Westerman,Westerman,Bruce,,,R,130 Cannon House Office Building,Washington,DC,20515-0404,W000821,"103,104,105,106"
"AS00 Aumua Amata Coleman Radewagen, R",American Samoa Office,AS00,Aumua Amata Coleman Radewagen,Radewagen,Aumua Amata,Coleman,,R,1339 Longworth House Office Building,Washington,DC,20515-5200,R000600,107
"AZ01 Tom O'Halleran, D",,AZ01,Tom O'Halleran,O'Halleran,Tom,,,D,126 Cannon House Office Building,Washington,DC,20515-0301,O000171,
"AZ02 Martha McSally, R","Sierra Vista Office, Tucson Office",AZ02,Martha McSally,McSally,Martha,,,R,510 Cannon House Office Building,Washington,DC,20515-0302,M001197,"109,110"
"AZ03 Raul M. Grijalva, D","Avondale Office, Somerton Office, Tucson Office",AZ03,Raul M. Grijalva,Grijalva,Raul,M.,,D,1511 Longworth House Office Building,Washington,DC,20515-0303,G000551,"111,112,113"
"AZ04 Paul A. Gosar, R","Gold Canyon Office, Prescott Office",AZ04,Paul A. Gosar,Gosar,Paul,A.,,R,2057 Rayburn House Office Building,Washington,DC,20515-0304,G000565,"114,115"
"AZ05 Andy Biggs, R",,AZ05,Andy Biggs,Biggs,Andy,,,R,1626 Longworth House Office Building,Washington,DC,20515-0305,B001302,
"AZ06 David Schweikert, R",Scottsdale Office,AZ06,David Schweikert,Schweikert,David,,,R,2059 Rayburn House Office Building,Washington,DC,20515-0306,S001183,61
"AZ07 Ruben Gallego, D",Phoenix Office,AZ07,Ruben Gallego,Gallego,Ruben,,,D,1218 Longworth House Office Building,Washington,DC,20515-0307,G000574,116
"AZ08 Trent Franks, R",Glendale Office,AZ08,Trent Franks,Franks,Trent,,,R,2435 Rayburn House Office Building,Washington,DC,20515-0308,F000448,118
"AZ09 Kyrsten Sinema, D",Phoenix District Office,AZ09,Kyrsten Sinema,Sinema,Kyrsten,,,D,1725 Longworth House Office Building,Washington,DC,20515-0309,S001191,120
"CA01 Doug LaMalfa, R","Auburn District Office, Oroville District Office, Redding District Office",CA01,Doug LaMalfa,LaMalfa,Doug,,,R,322 Cannon House Office Building,Washington,DC,20515-0501,L000578,"62,64,65"
"CA02 Jared Huffman, D","Eureka District Office, Fort Bragg District Office, Petaluma District Office, San Rafael District Office, Ukiah District Office",CA02,Jared Huffman,Huffman,Jared,,,D,1406 Longworth House Office Building,Washington,DC,20515-0502,H001068,"121,123,124,126,128"
